attr	element	anim	treatValueAs
accent-height	font-face	FALSE	ignore
alphabetic	font-face	FALSE	ignore
arabic-form	glyph	FALSE	ignore
ascent	font-face	FALSE	ignore
bbox	font-face	FALSE	cmm-list
cap-height	font-face	FALSE	ignore
d	glyph	FALSE	path-data-list
d	missing-glyph	FALSE	path-data-list
descent	font-face	FALSE	ignore
font-family	font-face	FALSE	cmm-list
font-size	font-face	FALSE	cmm-list
font-stretch	font-face	FALSE	ignore
font-style	font-face	FALSE	ignore
font-variant	font-face	FALSE	ignore
font-weight	font-face	FALSE	ignore
g1	hkern	FALSE	cmm-list
g1	vkern	FALSE	cmm-list
g2	hkern	FALSE	cmm-list
g2	vkern	FALSE	cmm-list
glyph-name	glyph	FALSE	cmm-list
hanging	font-face	FALSE	ignore
horiz-adv-x	font	FALSE	ignore
horiz-adv-x	glyph	FALSE	ignore
horiz-adv-x	missing-glyph	FALSE	ignore
horiz-origin-x	font	FALSE	ignore
horiz-origin-y	font	FALSE	ignore
ideographic	font-face	FALSE	ignore
k	hkern	FALSE	ignore
k	vkern	FALSE	ignore
lang	glyph	FALSE	cmm-list
mathematical	font-face	FALSE	ignore
name	font-face-name	FALSE	ignore
orientation	glyph	FALSE	ignore
overline-position	font-face	FALSE	ignore
overline-thickness	font-face	FALSE	ignore
panose-1	font-face	FALSE	wsp-list
slope	font-face	FALSE	ignore
stemh	font-face	FALSE	ignore
stemv	font-face	FALSE	ignore
strikethrough-position	font-face	FALSE	ignore
strikethrough-thickness	font-face	FALSE	ignore
string	font-face-format	FALSE	ignore
u1	hkern	FALSE	ignore
u1	vkern	FALSE	ignore
u2	hkern	FALSE	ignore
u2	vkern	FALSE	ignore
underline-position	font-face	FALSE	ignore
underline-thickness	font-face	FALSE	ignore
unicode	glyph	FALSE	cmm-list
unicode-range	font-face	FALSE	cmm-list
units-per-em	font-face	FALSE	ignore
v-alphabetic	font-face	FALSE	ignore
v-hanging	font-face	FALSE	ignore
v-ideographic	font-face	FALSE	ignore
v-mathematical	font-face	FALSE	ignore
vert-adv-y	font	FALSE	ignore
vert-adv-y	glyph	FALSE	ignore
vert-adv-y	missing-glyph	FALSE	ignore
vert-origin-x	font	FALSE	ignore
vert-origin-x	glyph	FALSE	ignore
vert-origin-x	missing-glyph	FALSE	ignore
vert-origin-y	font	FALSE	ignore
vert-origin-y	glyph	FALSE	ignore
vert-origin-y	missing-glyph	FALSE	ignore
widths	font-face	FALSE	cmm-list
x-height	font-face	FALSE	ignore
xlink:href	font-face-uri	FALSE	ignore
accumulate	animate	FALSE	ignore
accumulate	animateColor	FALSE	ignore
accumulate	animateMotion	FALSE	ignore
accumulate	animateTransform	FALSE	ignore
additive	animate	FALSE	ignore
additive	animateColor	FALSE	ignore
additive	animateMotion	FALSE	ignore
additive	animateTransform	FALSE	ignore
attributeName	animate	FALSE	ignore
attributeName	animateColor	FALSE	ignore
attributeName	animateTransform	FALSE	ignore
attributeName	set	FALSE	ignore
