attr	type	dim	value	default	formatAs	typeW3C	EQN	loc	value.def
accent-height	NUMERIC	1	<numeric>		1		FALSE	FontFaceElementAccentHeightAttribute	Specifies the distance from the font origin to the top of the accent characters, given in the units of the font coordinate system.
accumulate	LITERAL	1	\emph{'sum'}				FALSE	AccumulateAttribute	Specifies to accumulate values, that is each repeat iteration builds upon the last value of the previous iteration.
accumulate	LITERAL	1	\emph{'none'}	T			FALSE	AccumulateAttribute	Specifies not to accumulate values. (The default)
additive	LITERAL	1	\emph{'sum'}				FALSE	AdditiveAttribute	Specifies that the animation is to add to the underlying value of the attribute and any other lower priority animations.
additive	LITERAL	1	\emph{'replace'}	T			FALSE	AdditiveAttribute	Specifies that the the animation is to replace (override) the underlying value of the attributes. This is the default
alphabetic	NUMERIC	1	<number>		1		FALSE	FontFaceElementAlphabeticAttribute	Specifies an amount of alignment to be used to produce an ideographic baseline alignment, given that the \emph{glyphs} are  horizontally orientated.  The units of this value is the same as the units given by the font coordinate system.
amplitude	NUMERIC	1	<numericr>	1		equation	FALSE	feComponentTransferAmplitudeAttribute	Specifies the amplitude to be used to construct the transfer function when the type is \emph{gamma.}
arabic-form	LITERAL	1	\emph{'initial'}				FALSE	GlyphElementArabicFormAttribute	Specifies the initial \emph{Arabic} \emph{glyph} form.
arabic-form	LITERAL	1	\emph{'medial'}				FALSE	GlyphElementArabicFormAttribute	Specifies the medial \emph{Arabic} \emph{glyph} form.
arabic-form	LITERAL	1	\emph{'terminal'}				FALSE	GlyphElementArabicFormAttribute	Specifies the terminal \emph{Arabic} \emph{glyph} form.
arabic-form	LITERAL	1	\emph{'isolated'}				FALSE	GlyphElementArabicFormAttribute	Specifies the isolated \emph{Arabic} \emph{glyph} form.
attributeName	CHARACTER	1	<attribute-name>		1		FALSE	AttributeNameAttribute	Specifies the name of the target attribute.
attributeType	LITERAL	1	\emph{'CSS'}		1-C	const	FALSE	AttributeTypeAttribute	Specifies that the value of \emph{'attributeName'} should be interpreted  as the name of a CSS property.
attributeType	LITERAL	1	\emph{'XML'}		1-C	const	FALSE	AttributeTypeAttribute	Specifies that the value of  \emph{'attributeName'} should be interpreted as the name of a XML attribute
attributeType	LITERAL	1	\emph{'auto'}	TRUE	1-C	const	FALSE	AttributeTypeAttribute	Specifies to discover the value by searching for the matching property name, first through the CSS, then if not found then searching next through the XML.
azimuth	ANGLE	1	<angle>				FALSE	feDistantLightAzimuthAttribute	Specifies the azimuth angle (in degrees). The azimuth angle is defined as the angle between the x-axis and the projection into the xy-plane of vector from the origin to the light source. This angle is measured clockwise.
baseFrequency	NUMERIC	1,2	<numeric>[1 or 2] (=fx or c(fx,fy))	0			TRUE	feTurbulenceBaseFrequencyAttribute	Specifies the base frequency parameter, \eqn{f_x}, \eqn{f_y}, used to generate the noise function in the X, Y directions respectively. The default for \eqn{f_x} is 0 (no effect), the default for \eqn{f_y} is \eqn{f_x}.
baseProfile	CHARACTER	1	<profile-name>				FALSE	SVGElementBaseProfileAttribute	Specifies a minimum SVG language profile considered necessary for correct content rendering.
bbox	NUMERIC	4	<numeric>[4] (=c(left-x, lower-y, right-x, upper-y))				FALSE	FontFaceElementBboxAttribute	Specifies the maximal bounding box of the font. This is represented as a vector c(lower-left-x, lower-left-y, upper-right-x, upper-right-y).
begin	??	C-V-UL	<offset-value>	seconds	V-C L-C		FALSE	BeginAttribute	Specifies when to begin the animation, based upon an offset (+ or - ) from the implicit synbase (default is seconds)
begin	??	C-V-UL	<syncbase-value>		V-C L-C		FALSE	BeginAttribute	Specifies when to begin the animation, based upon an offset (+ or - ) from the explicit synbase given by the begin or end of the element referenced by Id.value
begin	??	C-V-UL	<event-value>		V-C L-C		FALSE	BeginAttribute	Specifies when to begin the animation, based upon an offset (+ or - ) relative to when the event referenced occurs.
begin	??	C-V-UL	<repeat-value>		V-C L-C		FALSE	BeginAttribute	Specifies when to begin the animation, based upon an offset (+ or - ) relative to a repeating event.
begin	??	C-V-UL	<accessKey-value>		V-C L-C		FALSE	BeginAttribute	Specifies when to begin the animation, based upon an offset (+ or - ) relative to an access key event of the specified character.
begin	??	C-V-UL	<wallclock-sync-value>		V-C L-C		FALSE	BeginAttribute	Specifies when to begin the animation, based on wall clock time.
begin	LITERAL	1	\emph{'indefinite'}		V-C	const	FALSE	BeginAttribute	Specifies when to begin the animation, using a \emph{beginElement()} method call or a hyperlink targeted to the element to trigger the begin.
bias	??	1	<numeric>	0			FALSE	feConvolveMatrixElementBiasAttribute	Specifies the value to be added to each image component after applying the \emph{kernelMatrix} and \emph{divisor.}
by	??	1	<value>		V		FALSE	ByAttribute	Specifies the relative offset value to be used to compute the final ending value, That is  \eqn{endValue = startingValue + by}. This overrides any \emph{from to} specification.
calcMode	LITERAL	1	\emph{'discrete'}		1-C		FALSE	CalcModeAttribute	Specifies a discrete jump to the next value without any intermediate transitioning.
calcMode	LITERAL	1	\emph{'linear'}	TRUE	1-C		FALSE	CalcModeAttribute	Specifies an intermediate transitioning based on a linear interpolation across time from the starting value to the ending value. (This is the the default for all except for \emph{animateMotion})
