loc	attr	value	value.def
HrefAttribute	xlink:href	<iri>	An IRI reference to the element which is the target of this animation and which therefore will be modified over time. The target element must be part of the current SVG document fragment. <iri> must point to exactly one target element which is capable of being the target of the given animation. If <iri> points to multiple target elements, if the given target element is not capable of being a target of the given animation, or if the given target element is not part of the current SVG document fragment, then the document is in error (see Error processing). If the 'xlink.href' attribute is not provided, then the target element will be the immediate parent element of the current animation element. Refer to the descriptions of the individual animation elements for any restrictions on what types of elements can be targets of particular types of animations. Except for any SVG.specific rules explicitly mentioned in this specification, the normative definition for this attribute is the SMIL Animation specification. In particular, see SMIL Animation. Specifying the animation target ([SMILANIM], section 3.1).
AttributeNameAttribute	attributeName	<attributeName>	Specifies the name of the target attribute. An XMLNS prefix may be used to indicate the XML namespace for the attribute. The prefix will be interpreted in the scope of the current (i.e., the referencing) animation element. Except for any SVG.specific rules explicitly mentioned in this specification, the normative definition for this attribute is the SMIL Animation specification. In particular, see SMIL Animation. Specifying the animation target ([SMILANIM], section 3.1).
AttributeTypeAttribute	attributeType	CSS	This specifies that the value of 'attributeName' is the name of a CSS property defined as animatable in this specification.
AttributeTypeAttribute	attributeType	XML	This specifies that the value of 'attributeName' is the name of an XML attribute defined in the default XML namespace for the target element. If the value for 'attributeName' has an XMLNS prefix, the implementation must use the associated namespace as defined in the scope of the target element. The attribute must be defined as animatable in this specification.
AttributeTypeAttribute	attributeType	auto	The implementation should match the 'attributeName' to an attribute for the target element. The implementation must first search through the list of CSS properties for a matching property name, and if none is found, search the default XML namespace for the element.
BeginAttribute	begin	begin.value.list ..= begin.value (S? ";" S? begin.value.list )?	A semicolon separated list of begin values. The interpretation of a list of begin times is detailed in SMIL Animation's section on "Evaluation of begin and end time lists".
BeginAttribute	begin	begin.value ..= ( offset.value | syncbase.value | event.value | repeat.value | accessKey.value | wallclock.sync.value | "indefinite" )	Describes the element begin.
BeginAttribute	begin	offset.value ..= ( S? "+" | "." S? )? ( Clock.value )	For SMIL Animation, this describes the element begin as an offset from an implicit syncbase. For SVG, the implicit syncbase begin is defined to be relative to the document begin. Negative begin times are entirely valid and easy to compute, as long as there is a resolved document begin time.
BeginAttribute	begin	syncbase.value ..= ( Id.value "." ( "begin" | "end" ) ) ( S? ("+"|".") S? Clock.value )?	Describes a syncbase and an optional offset from that syncbase. The element begin is defined relative to the begin or active end of another animation. A syncbase consists of an ID reference to another animation element followed by either begin or end to identify whether to synchronize with the beginning or active end of the referenced animation element.
BeginAttribute	begin	event.value ..= ( Id.value "." )? ( event.ref ) ( S? ("+"|".") S? Clock.value )?	Describes an event and an optional offset that determine the element begin. The animation begin is defined relative to the time that the event is raised. The list of event.symbols available for a given event.base element is the list of event attributes available for the given element as defined by the SVG DTD, with the one difference that the leading 'on' is removed from the event name (i.e., the animation event name is 'click', not 'onclick'). A list of all events supported by SVG can be found in Complete list of supported events. Details of event.based timing are described in SMIL Animation. Unifying Event.based and Scheduled Timing.
BeginAttribute	begin	repeat.value ..= ( Id.value "." )? "repeat(" integer ")" ( S? ("+"|".") S? Clock.value )?	Describes a qualified repeat event. The element begin is defined relative to the time that the repeat event is raised with the specified iteration value.
BeginAttribute	begin	accessKey.value ..= "accessKey(" character ")" ( S? ("+"|".") S? Clock.value )?	Describes an accessKey that determines the element begin. The element begin is defined relative to the time that the accessKey character is input by the user.
BeginAttribute	begin	wallclock.sync.value ..= "wallclock(" wallclock.value ")"	Describes the element begin as a real.world clock time. The wallclock time syntax is based upon syntax defined in Representation of dates and times [ISO8601].
BeginAttribute	begin	"indefinite"	The begin of the animation will be determined by a "beginElement()" method call or a hyperlink targeted to the element. The animation DOM methods are described in DOM interfaces. Hyperlink.based timing is described in SMIL Animation. Hyperlinks and timing.
DurAttribute	dur	Clock.value	Specifies the length of the simple duration in presentation time. Value must be greater than 0.
DurAttribute	dur	"media"	Specifies the simple duration as the intrinsic media duration. This is only valid for elements that define media. (For SVG's animation elements, if 'media' is specified, the attribute will be ignored.)
DurAttribute	dur	"indefinite"	Specifies the simple duration as indefinite.
EndAttribute	end	end.value.list ..= end.value (S? ";" S? end.value.list )?	A semicolon separated list of end values. The interpretation of a list of end times is detailed below.
EndAttribute	end	end.value ..= ( offset.value | syncbase.value | event.value | repeat.value | accessKey.value | wallclock.sync.value | "indefinite" )	Describes the active end of the animation.
MinAttribute	min	Clock.value	Specifies the length of the minimum value of the active duration, measured in local time. Value must be greater than 0.
