"","attr","element","anim","link","page","loc","val","lnk","treatValueAs"
"1","accent-height","font-face",FALSE,"fonts.html#FontFaceElementAccentHeightAttribute","fonts.html","FontFaceElementAccentHeightAttribute","<number>","types.html#DataTypeNumber","ignore"
"2","alphabetic","font-face",FALSE,"fonts.html#FontFaceElementAlphabeticAttribute","fonts.html","FontFaceElementAlphabeticAttribute","<number>","types.html#DataTypeNumber","ignore"
"3","arabic-form","glyph",FALSE,"fonts.html#GlyphElementArabicFormAttribute","fonts.html","GlyphElementArabicFormAttribute","initial | medial | terminal | isolated",NA,"ignore"
"4","ascent","font-face",FALSE,"fonts.html#FontFaceElementAscentAttribute","fonts.html","FontFaceElementAscentAttribute","<number>","types.html#DataTypeNumber","ignore"
"5","bbox","font-face",FALSE,"fonts.html#FontFaceElementBboxAttribute","fonts.html","FontFaceElementBboxAttribute","<string>",NA,"cmm-list"
"6","cap-height","font-face",FALSE,"fonts.html#FontFaceElementCapHeightAttribute","fonts.html","FontFaceElementCapHeightAttribute","<number>","types.html#DataTypeNumber","ignore"
"7","d","glyph",FALSE,"fonts.html#GlyphElementDAttribute","fonts.html","GlyphElementDAttribute","path data",NA,"path-data-list"
"8","d","missing-glyph",FALSE,"fonts.html#GlyphElementDAttribute","fonts.html","GlyphElementDAttribute","path data",NA,"path-data-list"
"9","descent","font-face",FALSE,"fonts.html#FontFaceElementDescentAttribute","fonts.html","FontFaceElementDescentAttribute","<number>","types.html#DataTypeNumber","ignore"
"10","font-family","font-face",FALSE,"fonts.html#FontFaceElementFontFamilyAttribute","fonts.html","FontFaceElementFontFamilyAttribute","<string>",NA,"cmm-list"
"11","font-size","font-face",FALSE,"fonts.html#FontFaceElementFontSizeAttribute","fonts.html","FontFaceElementFontSizeAttribute","<string>",NA,"cmm-list"
"12","font-stretch","font-face",FALSE,"fonts.html#FontFaceElementFontStretchAttribute","fonts.html","FontFaceElementFontStretchAttribute","all | [ normal | ultra-condensed | extra-condensed | condensed | semi-condensed | semi-expanded | expanded | extra-expanded | ultra-expanded] [, [ normal | ultra-condensed | extra-condensed | condensed | semi-condensed | semi-expanded | expanded | extra-expanded | ultra-expanded] ]*",NA,"ignore"
"13","font-style","font-face",FALSE,"fonts.html#FontFaceElementFontStyleAttribute","fonts.html","FontFaceElementFontStyleAttribute","all | [ normal | italic | oblique] [, [normal | italic | oblique]]*",NA,"ignore"
"14","font-variant","font-face",FALSE,"fonts.html#FontFaceElementFontVariantAttribute","fonts.html","FontFaceElementFontVariantAttribute","[normal | small-caps] [,[normal | small-caps]]*",NA,"ignore"
"15","font-weight","font-face",FALSE,"fonts.html#FontFaceElementFontWeightAttribute","fonts.html","FontFaceElementFontWeightAttribute","all | [normal | bold | 100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900] [, [normal | bold | 100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900]]*",NA,"ignore"
"16","g1","hkern",FALSE,"fonts.html#HKernElementG1Attribute","fonts.html","HKernElementG1Attribute","<name> [, <name> ]*",NA,"cmm-list"
"17","g1","vkern",FALSE,"fonts.html#HKernElementG1Attribute","fonts.html","HKernElementG1Attribute","<name> [, <name> ]*",NA,"cmm-list"
"18","g2","hkern",FALSE,"fonts.html#HKernElementG2Attribute","fonts.html","HKernElementG2Attribute","<name> [, <name> ]*",NA,"cmm-list"
