element	variable	value
glyph	vert-origin-xy	vert-origin-x
glyph	vert-origin-xy	vert-origin-y
missing-glyph	vert-origin-xy	vert-origin-x
missing-glyph	vert-origin-xy	vert-origin-y
font	horiz-origin-xy	horiz-origin-x
font	horiz-origin-xy	horiz-origin-y
font	vert-origin-xy	vert-origin-x
font	vert-origin-xy	vert-origin-y
feTurbulence	xy	x
feTurbulence	xy	y
feConvolveMatrix	xy	x
feConvolveMatrix	xy	y
feDiffuseLighting	xy	x
feDiffuseLighting	xy	y
feOffset	dxy	dx
feOffset	dxy	dy
feOffset	xy	x
feOffset	xy	y
filter	xy	x
filter	xy	y
feBlend	xy	x
feBlend	xy	y
feColorMatrix	xy	x
feColorMatrix	xy	y
feComponentTransfer	xy	x
feComponentTransfer	xy	y
feComposite	xy	x
feComposite	xy	y
feDisplacementMap	xy	x
feDisplacementMap	xy	y
feFlood	xy	x
feFlood	xy	y
feGaussianBlur	xy	x
feGaussianBlur	xy	y
feImage	xy	x
feImage	xy	y
feMerge	xy	x
feMerge	xy	y
feMorphology	xy	x
feMorphology	xy	y
feSpecularLighting	xy	x
feSpecularLighting	xy	y
feTile	xy	x
feTile	xy	y
feSpotLight	xyz	x
feSpotLight	xyz	y
feSpotLight	xyz	z
fePointLight	xyz	x
fePointLight	xyz	y
fePointLight	xyz	z
svg	xy	x
svg	xy	y
altGlyph	dxy	dx
altGlyph	dxy	dy
altGlyph	xy	x
altGlyph	xy	y
circle	cxy	cx
circle	cxy	cy
cursor	xy	x
cursor	xy	y
ellipse	cxy	cx
ellipse	cxy	cy
ellipse	rxy	rx
ellipse	rxy	ry
foreignObject	xy	x
foreignObject	xy	y
image	xy	x
image	xy	y
mask	xy	x
mask	xy	y
pattern	xy	x
pattern	xy	y
radialGradient	cxy	cx
radialGradient	cxy	cy
radialGradient	fxy	fx
radialGradient	fxy	fy
rect	rxy	rx
rect	rxy	ry
rect	xy	x
rect	xy	y
text	dxy	dx
text	dxy	dy
text	xy	x
text	xy	y
tref	dxy	dx
tref	dxy	dy
tref	xy	x
tref	xy	y
tspan	dxy	dx
tspan	dxy	dy
tspan	xy	x
tspan	xy	y
use	xy	x
use	xy	y
glyphRef	dxy	dx
glyphRef	dxy	dy
glyphRef	xy	x
glyphRef	xy	y
feConvolveMatrix	targetXY	targetX
feConvolveMatrix	targetXY	targetY
feSpotLight	pointsAtXYZ	pointsAtX
feSpotLight	pointsAtXYZ	pointsAtY
feSpotLight	pointsAtXYZ	pointsAtZ
marker	refXY	refX
marker	refXY	refY
hkern	g12	g1
hkern	g12	g2
hkern	u12	u1
hkern	u12	u2
vkern	g12	g1
vkern	g12	g2
vkern	u12	u1
vkern	u12	u2
feComposite	k1234	k1
feComposite	k1234	k2
feComposite	k1234	k3
feComposite	k1234	k4
line	x12	x1
line	x12	x2
line	y12	y1
line	y12	y2
linearGradient	x12	x1
linearGradient	x12	x2
linearGradient	y12	y1
linearGradient	y12	y2
feTurbulence	wh	width
feTurbulence	wh	height
feConvolveMatrix	wh	width
feConvolveMatrix	wh	height
feDiffuseLighting	wh	width
feDiffuseLighting	wh	height
feOffset	wh	width
feOffset	wh	height
filter	wh	width
filter	wh	height
feBlend	wh	width
feBlend	wh	height
feColorMatrix	wh	width
feColorMatrix	wh	height
feComponentTransfer	wh	width
feComponentTransfer	wh	height
feComposite	wh	width
feComposite	wh	height
feDisplacementMap	wh	width
feDisplacementMap	wh	height
feFlood	wh	width
feFlood	wh	height
feGaussianBlur	wh	width
feGaussianBlur	wh	height
feImage	wh	width
feImage	wh	height
feMerge	wh	width
feMerge	wh	height
feMorphology	wh	width
feMorphology	wh	height
feSpecularLighting	wh	width
feSpecularLighting	wh	height
feTile	wh	width
feTile	wh	height
svg	wh	width
svg	wh	height
foreignObject	wh	width
foreignObject	wh	height
image	wh	width
image	wh	height
mask	wh	width
mask	wh	height
pattern	wh	width
pattern	wh	height
rect	wh	width
rect	wh	height
use	wh	width
use	wh	height
feBlend	in12	in
feBlend	in12	in2
feComposite	in12	in
feComposite	in12	in2
feDisplacementMap	in12	in
feDisplacementMap	in12	in2
line	xy1	x1
line	xy1	y1
linearGradient	xy1	x1
linearGradient	xy1	y1
line	xy2	x2
line	xy2	y2
linearGradient	xy2	x2
linearGradient	xy2	y2
