element	category	description
a	Container elements	Live result:
altGlyph	Text content element, Text content child elements	The altGlyph element allows sophisticated selection of the glyphs used to render its child character data.
altGlyphDef	Text content elements	The altGlyphDef element defines a substitution representation for glyphs.
altGlyphItem	Text content elements	The altGlyphItem element provides a set of candidates for glyph substitution by the <altglyph> element.
animate	Animate elements	The animate element is put inside a shape element and defines how an attribute of an element changes over the animation. The attribute will change from the initial value to the end value in the duration specified.
animateColor	Basic shape element, Graphics element, Shape elements	
animateMotion	Animation elements	The animateMotion element causes a referenced element to move along a motion path.
animateTransform	Animation elements	The animateTransform element animates a transformation attribute on a target element, thereby allowing animations to control translation, scaling, rotation and/or skewing.
circle	Basic shape element, Graphics element, Shape elements	The circle element is an SVG basic shape, used to create circles based on a center point and a radius.
clipPath	Unassigned	The clipping path restricts the region to which paint can be applied. Conceptually, any parts of the drawing that lie outside of the region bounded by the currently active clipping path are not drawn.
color-profile	Unassigned	The element allows describing the color profile used for the image.
cursor	Unassigned	The cursor element can be used to define a platform-independent custom cursor. A recommended approach for defining a platform-independent custom cursor is to create a PNG image and define a cursor element that references the PNG image and identifies the exact position within the image which is the pointer position (i.e., the hot spot).
defs	Container element, Structural elements	SVG allows graphical objects to be defined for later reuse. It is recommended that, wherever possible, referenced elements be defined inside of a defs element. Defining these elements inside of a defs element promotes understandability of the SVG content and thus promotes accessibility. Graphical elements defined in a defs will not be directly rendered. You can use a <use> element to render those elements wherever you want on the viewport.
desc	Descriptive elements	Each container element or graphics element in an SVG drawing can supply a desc description string where the description is text-only. When the current SVG document fragment is rendered as SVG on visual media, desc elements are not rendered as part of the graphics. Alternate presentations are possible, both visual and aural, which display the desc element but do not display path elements or other graphics elements. The desc element generally improve accessibility of SVG documents
ellipse	Basic shape element, Graphics element, Shape elements	The ellipse element is an SVG basic shape, used to create ellipses based on a center coordinate, and both their x and y radius.
feBlend	Filter primitive elements	The feBlend filter composes two objects together ruled by a certain blending mode. This is similar to what is known from image editing software when blending two layers. The mode is defined by the mode attribute.
feColorMatrix	Filter primitive elements	This filter changes colors based on a transformation matrix. Every pixel's color value (represented by an [R,G,B,A] vector) is matrix multiplied to create a new color.
feComponentTransfer	Filter primitive elements	The color of each pixel is modified by changing each channel (R, G, B, and A) to the result of what the children <fefuncr>, <fefuncb>, <fefuncg>, and <fefunca> return.
feComposite	Filter primitive elements	This filter primitive performs the combination of two input images pixel-wise in image space using one of the Porter-Duff compositing operations: over, in, atop, out, xor. Additionally, a component-wise arithmetic operation (with the result clamped between [0..1]) can be applied.
feConvolveMatrix	Filter primitive elements	the feConvolveMatrix element applies a matrix convolution filter effect. A convolution combines pixels in the input image with neighboring pixels to produce a resulting image. A wide variety of imaging operations can be achieved through convolutions, including blurring, edge detection, sharpening, embossing and beveling.
feDiffuseLighting	Filter primitive elements	This filter primitive lights an image using the alpha channel as a bump map. The resulting image, which is an RGBA opaque image, depends on the light color, light position and surface geometry of the input bump map.
feDisplacementMap	Filter primitive elements	This filter primitive uses the pixels values from the image from in2 to spatially displace the image from in.
feDistantLight	Light source elements	This filter primitive define a distant light source that can be used within a lighting filter primitive : <fediffuselighting> or <fespecularlighting>.
feFlood	Filter primitive elements	The filter fills the filter subregion with the color and opacity defined by flood-color and flood-opacity.
feFuncA	Unassigned	This filter primitive defines the transfer function for the alpha component of the input graphic of its parent <fecomponenttransfer> element.
feFuncB	Unassigned	This filter primitive defines the transfer function for the blue component of the input graphic of its parent <fecomponenttransfer> element.
feFuncG	Unassigned	This filter primitive defines the transfer function for the green component of the input graphic of its parent <fecomponenttransfer> element.
feFuncR	Unassigned	This filter primitive defines the transfer function for the red component of the input graphic of its parent <fecomponenttransfer> element.
feGaussianBlur	Filter primitive elements	The filter blurs the input image by the amount specified in stdDeviation, which defines the bell-curve.
feImage	Filter primitive elements	The feImage filter fetches image data from an external source and provides the pixel data as output (meaning, if the external source is an SVG image, it is rasterize).
feMerge	Filter primitive elements	The feMerge filter allows filter effects to be applied concurrently instead of sequentially. This is achieved by other filters storing their output via the result attribute and then accessing it in a <femergenode> child.
feMergeNode	Unassigned	The feMergeNode takes the result of another filter to be processed by its parent <femerge>.
feMorphology	Filter primitive elements	This filter is used to erode or dilate the input image. It's usefulness lies especially in fattening or thinning effects.
feOffset	Filter primitive elements	The input image as a whole is offset by the values specified in the dx and dy attributes. It's used in creating drop-shadows.
fePointLight	Light source elements	 
feSpecularLighting	Filter primitive elements	This filter primitive lights a source graphic using the alpha channel as a bump map. The resulting image is an RGBA image based on the light color. The lighting calculation follows the standard specular component of the Phong lighting model. The resulting image depends on the light color, light position and surface geometry of the input bump map. The result of the lighting calculation is added. The filter primitive assumes that the viewer is at infinity in the z direction.
feSpotLight	Light source elements	 
feTile	Filter primitive elements	An input image is tiled and the result used to fill a target. The effect is similar to the one of a <pattern>.
feTurbulence	Filter primitive elements	This filter primitive creates an image using the Perlin turbulence function. It allows the synthesis of artificial textures like clouds or marble.
filter	Unassigned	The filter element serves as container for atomic filter operations. It is never rendered directly. A filter is referenced by using the filter attribute on the target SVG element.
font	Font elements	The font element defines a font to be used for text layout.
font-face	Font elements	The font-face element corresponds to the CSS @font-face declaration. It defines a font's outer properties.
font-face-format	Font elements	The font-face-format element describes the type of font referenced by its parent <font-face-uri>.
font-face-name	Unassigned	The font-face-name element points to a locally installed copy of this font, identified by its name.
