element	variable	value
a	category	Container Element
a	content.model	animation elements:
a	content.model	descriptive elements:
a	content.model	shape elements:
a	content.model	structural elements:
a	content.model	gradient elements:
a	content.model	a
a	content.model	altGlyphDef
a	content.model	clipPath
a	content.model	color-profile
a	content.model	cursor
a	content.model	filter
a	content.model	font
a	content.model	font-face
a	content.model	foreignObject
a	content.model	image
a	content.model	marker
a	content.model	mask
a	content.model	pattern
a	content.model	script
a	content.model	style
a	content.model	switch
a	content.model	text
a	content.model	view
a	attr	conditional processing attributes:
a	attr	core attributes:
a	attr	graphical event attributes:
a	attr	presentation attributes:
a	attr	xlink attributes:
a	attr	class
a	attr	style
a	attr	externalResourcesRequired
a	attr	transform
a	attr	xlink:href
a	attr	xlink:show
a	attr	xlink:actuate
a	attr	target
view	category	Uncategorized Element
view	content.model	descriptive elements:
view	attr	core attributes:
view	attr	externalResourcesRequired
view	attr	viewBox
view	attr	preserveAspectRatio
view	attr	zoomAndPan
view	attr	viewTarget
text	category	Graphics Element
text	category	Text Content Element
text	content.model	animation elements:
text	content.model	descriptive elements:
text	content.model	text content child elements:
text	content.model	a
text	attr	conditional processing attributes:
text	attr	core attributes:
text	attr	graphical event attributes:
text	attr	presentation attributes:
text	attr	class
text	attr	style
text	attr	externalResourcesRequired
text	attr	transform
text	attr	lengthAdjust
text	attr	x
text	attr	y
text	attr	dx
text	attr	dy
text	attr	rotate
text	attr	textLength
tspan	category	Text Content Element
tspan	category	Text Content Child Element
tspan	content.model	descriptive elements:
tspan	content.model	a
tspan	content.model	altGlyph
tspan	content.model	animate
tspan	content.model	animateColor
tspan	content.model	set
tspan	content.model	tref
tspan	content.model	tspan
tspan	attr	conditional processing attributes:
tspan	attr	core attributes:
tspan	attr	graphical event attributes:
tspan	attr	presentation attributes:
tspan	attr	class
tspan	attr	style
tspan	attr	externalResourcesRequired
tspan	attr	x
tspan	attr	y
tspan	attr	dx
tspan	attr	dy
tspan	attr	rotate
tspan	attr	textLength
tspan	attr	lengthAdjust
tref	category	Text Content Element
tref	category	Text Content Child Element
tref	content.model	descriptive elements:
tref	content.model	animate
tref	content.model	animateColor
tref	content.model	set
tref	attr	conditional processing attributes:
tref	attr	core attributes:
tref	attr	graphical event attributes:
tref	attr	presentation attributes:
tref	attr	xlink attributes:
tref	attr	class
tref	attr	style
tref	attr	externalResourcesRequired
tref	attr	xlink:href
textPath	category	Text Content Element
