"Position","Decimal","Name","Appearance"
"0x2190","8592","LEFTWARDS ARROW","←"
"0x2191","8593","UPWARDS ARROW","↑"
"0x2192","8594","RIGHTWARDS ARROW","→"
"0x2193","8595","DOWNWARDS ARROW","↓"
"0x2194","8596","LEFT RIGHT ARROW","↔"
"0x2195","8597","UP DOWN ARROW","↕"
"0x2196","8598","NORTH WEST ARROW","↖"
"0x2197","8599","NORTH EAST ARROW","↗"
"0x2198","8600","SOUTH EAST ARROW","↘"
"0x2199","8601","SOUTH WEST ARROW","↙"
"0x219A","8602","LEFTWARDS ARROW WITH STROKE","↚"
"0x219B","8603","RIGHTWARDS ARROW WITH STROKE","↛"
"0x219C","8604","LEFTWARDS WAVE ARROW","↜"
"0x219D","8605","RIGHTWARDS WAVE ARROW","↝"
"0x219E","8606","LEFTWARDS TWO HEADED ARROW","↞"
"0x219F","8607","UPWARDS TWO HEADED ARROW","↟"
"0x21A0","8608","RIGHTWARDS TWO HEADED ARROW","↠"
"0x21A1","8609","DOWNWARDS TWO HEADED ARROW","↡"
"0x21A2","8610","LEFTWARDS ARROW WITH TAIL","↢"
"0x21A3","8611","RIGHTWARDS ARROW WITH TAIL","↣"
"0x21A4","8612","LEFTWARDS ARROW FROM BAR","↤"
"0x21A5","8613","UPWARDS ARROW FROM BAR","↥"
"0x21A6","8614","RIGHTWARDS ARROW FROM BAR","↦"
"0x21A7","8615","DOWNWARDS ARROW FROM BAR","↧"
"0x21A8","8616","UP DOWN ARROW WITH BASE","↨"
"0x21A9","8617","LEFTWARDS ARROW WITH HOOK","↩"
"0x21AA","8618","RIGHTWARDS ARROW WITH HOOK","↪"
"0x21AB","8619","LEFTWARDS ARROW WITH LOOP","↫"
"0x21AC","8620","RIGHTWARDS ARROW WITH LOOP","↬"
"0x21AD","8621","LEFT RIGHT WAVE ARROW","↭"
"0x21AE","8622","LEFT RIGHT ARROW WITH STROKE","↮"
"0x21AF","8623","DOWNWARDS ZIGZAG ARROW","↯"
"0x21B0","8624","UPWARDS ARROW WITH TIP LEFTWARDS","↰"
"0x21B1","8625","UPWARDS ARROW WITH TIP RIGHTWARDS","↱"
"0x21B2","8626","DOWNWARDS ARROW WITH TIP LEFTWARDS","↲"
"0x21B3","8627","DOWNWARDS ARROW WITH TIP RIGHTWARDS","↳"
"0x21B4","8628","RIGHTWARDS ARROW WITH CORNER DOWNWARDS","↴"
"0x21B5","8629","DOWNWARDS ARROW WITH CORNER LEFTWARDS","↵"
"0x21B6","8630","ANTICLOCKWISE TOP SEMICIRCLE ARROW","↶"
"0x21B7","8631","CLOCKWISE TOP SEMICIRCLE ARROW","↷"
"0x21B8","8632","NORTH WEST ARROW TO LONG BAR","↸"
"0x21B9","8633","LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR","↹"
"0x21BA","8634","ANTICLOCKWISE OPEN CIRCLE ARROW","↺"
"0x21BB","8635","CLOCKWISE OPEN CIRCLE ARROW","↻"
"0x21BC","8636","LEFTWARDS HARPOON WITH BARB UPWARDS","↼"
"0x21BD","8637","LEFTWARDS HARPOON WITH BARB DOWNWARDS","↽"
"0x21BE","8638","UPWARDS HARPOON WITH BARB RIGHTWARDS","↾"
"0x21BF","8639","UPWARDS HARPOON WITH BARB LEFTWARDS","↿"
"0x21C0","8640","RIGHTWARDS HARPOON WITH BARB UPWARDS","⇀"
"0x21C1","8641","RIGHTWARDS HARPOON WITH BARB DOWNWARDS","⇁"
"0x21C2","8642","DOWNWARDS HARPOON WITH BARB RIGHTWARDS","⇂"
"0x21C3","8643","DOWNWARDS HARPOON WITH BARB LEFTWARDS","⇃"
"0x21C4","8644","RIGHTWARDS ARROW OVER LEFTWARDS ARROW","⇄"
"0x21C5","8645","UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW","⇅"
"0x21C6","8646","LEFTWARDS ARROW OVER RIGHTWARDS ARROW","⇆"
"0x21C7","8647","LEFTWARDS PAIRED ARROWS","⇇"
"0x21C8","8648","UPWARDS PAIRED ARROWS","⇈"
"0x21C9","8649","RIGHTWARDS PAIRED ARROWS","⇉"
"0x21CA","8650","DOWNWARDS PAIRED ARROWS","⇊"
"0x21CB","8651","LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON","⇋"
"0x21CC","8652","RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON","⇌"
"0x21CD","8653","LEFTWARDS DOUBLE ARROW WITH STROKE","⇍"
"0x21CE","8654","LEFT RIGHT DOUBLE ARROW WITH STROKE","⇎"
"0x21CF","8655","RIGHTWARDS DOUBLE ARROW WITH STROKE","⇏"
"0x21D0","8656","LEFTWARDS DOUBLE ARROW","⇐"
"0x21D1","8657","UPWARDS DOUBLE ARROW","⇑"
"0x21D2","8658","RIGHTWARDS DOUBLE ARROW","⇒"
"0x21D3","8659","DOWNWARDS DOUBLE ARROW","⇓"
"0x21D4","8660","LEFT RIGHT DOUBLE ARROW","⇔"
"0x21D5","8661","UP DOWN DOUBLE ARROW","⇕"
"0x21D6","8662","NORTH WEST DOUBLE ARROW","⇖"
"0x21D7","8663","NORTH EAST DOUBLE ARROW","⇗"
"0x21D8","8664","SOUTH EAST DOUBLE ARROW","⇘"
"0x21D9","8665","SOUTH WEST DOUBLE ARROW","⇙"
"0x21DA","8666","LEFTWARDS TRIPLE ARROW","⇚"
"0x21DB","8667","RIGHTWARDS TRIPLE ARROW","⇛"
"0x21DC","8668","LEFTWARDS SQUIGGLE ARROW","⇜"
"0x21DD","8669","RIGHTWARDS SQUIGGLE ARROW","⇝"
"0x21DE","8670","UPWARDS ARROW WITH DOUBLE STROKE","⇞"
"0x21DF","8671","DOWNWARDS ARROW WITH DOUBLE STROKE","⇟"
"0x21E0","8672","LEFTWARDS DASHED ARROW","⇠"
"0x21E1","8673","UPWARDS DASHED ARROW","⇡"
"0x21E2","8674","RIGHTWARDS DASHED ARROW","⇢"
"0x21E3","8675","DOWNWARDS DASHED ARROW","⇣"
"0x21E4","8676","LEFTWARDS ARROW TO BAR","⇤"
"0x21E5","8677","RIGHTWARDS ARROW TO BAR","⇥"
"0x21E6","8678","LEFTWARDS WHITE ARROW","⇦"
"0x21E7","8679","UPWARDS WHITE ARROW","⇧"
"0x21E8","8680","RIGHTWARDS WHITE ARROW","⇨"
"0x21E9","8681","DOWNWARDS WHITE ARROW","⇩"
"0x21EA","8682","UPWARDS WHITE ARROW FROM BAR","⇪"
"0x21EB","8683","UPWARDS WHITE ARROW ON PEDESTAL","⇫"
"0x21EC","8684","UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR","⇬"
"0x21ED","8685","UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR","⇭"
"0x21EE","8686","UPWARDS WHITE DOUBLE ARROW","⇮"
"0x21EF","8687","UPWARDS WHITE DOUBLE ARROW ON PEDESTAL","⇯"
"0x21F0","8688","RIGHTWARDS WHITE ARROW FROM WALL","⇰"
"0x21F1","8689","NORTH WEST ARROW TO CORNER","⇱"
"0x21F2","8690","SOUTH EAST ARROW TO CORNER","⇲"
"0x21F3","8691","UP DOWN WHITE ARROW","⇳"
