"Position","Decimal","Name","Appearance"
"0x2701","9985","UPPER BLADE SCISSORS","✁"
"0x2702","9986","BLACK SCISSORS","✂"
"0x2703","9987","LOWER BLADE SCISSORS","✃"
"0x2704","9988","WHITE SCISSORS","✄"
"0x2706","9990","TELEPHONE LOCATION SIGN","✆"
"0x2707","9991","TAPE DRIVE","✇"
"0x2708","9992","AIRPLANE","✈"
"0x2709","9993","ENVELOPE","✉"
"0x270C","9996","VICTORY HAND","✌"
"0x270D","9997","WRITING HAND","✍"
"0x270E","9998","LOWER RIGHT PENCIL","✎"
"0x270F","9999","PENCIL","✏"
"0x2710","10000","UPPER RIGHT PENCIL","✐"
"0x2711","10001","WHITE NIB","✑"
"0x2712","10002","BLACK NIB","✒"
"0x2713","10003","CHECK MARK","✓"
"0x2714","10004","HEAVY CHECK MARK","✔"
"0x2715","10005","MULTIPLICATION X","✕"
"0x2716","10006","HEAVY MULTIPLICATION X","✖"
"0x2717","10007","BALLOT X","✗"
"0x2718","10008","HEAVY BALLOT X","✘"
"0x2719","10009","OUTLINED GREEK CROSS","✙"
"0x271A","10010","HEAVY GREEK CROSS","✚"
"0x271B","10011","OPEN CENTRE CROSS","✛"
"0x271C","10012","HEAVY OPEN CENTRE CROSS","✜"
"0x271D","10013","LATIN CROSS","✝"
"0x271E","10014","SHADOWED WHITE LATIN CROSS","✞"
"0x271F","10015","OUTLINED LATIN CROSS","✟"
"0x2720","10016","MALTESE CROSS","✠"
"0x2721","10017","STAR OF DAVID","✡"
"0x2722","10018","FOUR TEARDROP-SPOKED ASTERISK","✢"
"0x2723","10019","FOUR BALLOON-SPOKED ASTERISK","✣"
"0x2724","10020","HEAVY FOUR BALLOON-SPOKED ASTERISK","✤"
"0x2725","10021","FOUR CLUB-SPOKED ASTERISK","✥"
"0x2726","10022","BLACK FOUR POINTED STAR","✦"
"0x2727","10023","WHITE FOUR POINTED STAR","✧"
"0x2729","10025","STRESS OUTLINED WHITE STAR","✩"
"0x272A","10026","CIRCLED WHITE STAR","✪"
"0x272B","10027","OPEN CENTRE BLACK STAR","✫"
"0x272C","10028","BLACK CENTRE WHITE STAR","✬"
"0x272D","10029","OUTLINED BLACK STAR","✭"
"0x272E","10030","HEAVY OUTLINED BLACK STAR","✮"
"0x272F","10031","PINWHEEL STAR","✯"
"0x2730","10032","SHADOWED WHITE STAR","✰"
"0x2731","10033","HEAVY ASTERISK","✱"
"0x2732","10034","OPEN CENTRE ASTERISK","✲"
"0x2733","10035","EIGHT SPOKED ASTERISK","✳"
"0x2734","10036","EIGHT POINTED BLACK STAR","✴"
"0x2735","10037","EIGHT POINTED PINWHEEL STAR","✵"
"0x2736","10038","SIX POINTED BLACK STAR","✶"
"0x2737","10039","EIGHT POINTED RECTILINEAR BLACK STAR","✷"
"0x2738","10040","HEAVY EIGHT POINTED RECTILINEAR BLACK STAR","✸"
"0x2739","10041","TWELVE POINTED BLACK STAR","✹"
"0x273A","10042","SIXTEEN POINTED ASTERISK","✺"
"0x273B","10043","TEARDROP-SPOKED ASTERISK","✻"
"0x273C","10044","OPEN CENTRE TEARDROP-SPOKED ASTERISK","✼"
"0x273D","10045","HEAVY TEARDROP-SPOKED ASTERISK","✽"
"0x273E","10046","SIX PETALLED BLACK AND WHITE FLORETTE","✾"
"0x273F","10047","BLACK FLORETTE","✿"
"0x2740","10048","WHITE FLORETTE","❀"
"0x2741","10049","EIGHT PETALLED OUTLINED BLACK FLORETTE","❁"
"0x2742","10050","CIRCLED OPEN CENTRE EIGHT POINTED STAR","❂"
"0x2743","10051","HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK","❃"
"0x2744","10052","SNOWFLAKE","❄"
"0x2745","10053","TIGHT TRIFOLIATE SNOWFLAKE","❅"
"0x2746","10054","HEAVY CHEVRON SNOWFLAKE","❆"
"0x2747","10055","SPARKLE","❇"
"0x2748","10056","HEAVY SPARKLE","❈"
"0x2749","10057","BALLOON-SPOKED ASTERISK","❉"
"0x274A","10058","EIGHT TEARDROP-SPOKED PROPELLER ASTERISK","❊"
"0x274B","10059","HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK","❋"
"0x274D","10061","SHADOWED WHITE CIRCLE","❍"
"0x274F","10063","LOWER RIGHT DROP-SHADOWED WHITE SQUARE","❏"
"0x2750","10064","UPPER RIGHT DROP-SHADOWED WHITE SQUARE","❐"
"0x2751","10065","LOWER RIGHT SHADOWED WHITE SQUARE","❑"
"0x2752","10066","UPPER RIGHT SHADOWED WHITE SQUARE","❒"
"0x2756","10070","BLACK DIAMOND MINUS WHITE X","❖"
"0x2758","10072","LIGHT VERTICAL BAR","❘"
"0x2759","10073","MEDIUM VERTICAL BAR","❙"
"0x275A","10074","HEAVY VERTICAL BAR","❚"
"0x275B","10075","HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT","❛"
"0x275C","10076","HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT","❜"
"0x275D","10077","HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT","❝"
"0x275E","10078","HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT","❞"
"0x2761","10081","CURVED STEM PARAGRAPH SIGN ORNAMENT","❡"
"0x2762","10082","HEAVY EXCLAMATION MARK ORNAMENT","❢"
"0x2763","10083","HEAVY HEART EXCLAMATION MARK ORNAMENT","❣"
"0x2764","10084","HEAVY BLACK HEART","❤"
"0x2765","10085","ROTATED HEAVY BLACK HEART BULLET","❥"
"0x2766","10086","FLORAL HEART","❦"
"0x2767","10087","ROTATED FLORAL HEART BULLET","❧"
"0x2776","10102","DINGBAT NEGATIVE CIRCLED DIGIT ONE","❶"
"0x2777","10103","DINGBAT NEGATIVE CIRCLED DIGIT TWO","❷"
"0x2778","10104","DINGBAT NEGATIVE CIRCLED DIGIT THREE","❸"
"0x2779","10105","DINGBAT NEGATIVE CIRCLED DIGIT FOUR","❹"
"0x277A","10106","DINGBAT NEGATIVE CIRCLED DIGIT FIVE","❺"
"0x277B","10107","DINGBAT NEGATIVE CIRCLED DIGIT SIX","❻"
"0x277C","10108","DINGBAT NEGATIVE CIRCLED DIGIT SEVEN","❼"
"0x277D","10109","DINGBAT NEGATIVE CIRCLED DIGIT EIGHT","❽"
"0x277E","10110","DINGBAT NEGATIVE CIRCLED DIGIT NINE","❾"
"0x277F","10111","DINGBAT NEGATIVE CIRCLED NUMBER TEN","❿"
"0x2780","10112","DINGBAT CIRCLED SANS-SERIF DIGIT ONE","➀"
"0x2781","10113","DINGBAT CIRCLED SANS-SERIF DIGIT TWO","➁"
"0x2782","10114","DINGBAT CIRCLED SANS-SERIF DIGIT THREE","➂"
"0x2783","10115","DINGBAT CIRCLED SANS-SERIF DIGIT FOUR","➃"
"0x2784","10116","DINGBAT CIRCLED SANS-SERIF DIGIT FIVE","➄"
"0x2785","10117","DINGBAT CIRCLED SANS-SERIF DIGIT SIX","➅"
"0x2786","10118","DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN","➆"
"0x2787","10119","DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT","➇"
"0x2788","10120","DINGBAT CIRCLED SANS-SERIF DIGIT NINE","➈"
"0x2789","10121","DINGBAT CIRCLED SANS-SERIF NUMBER TEN","➉"
"0x278A","10122","DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE","➊"
"0x278B","10123","DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO","➋"
"0x278C","10124","DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE","➌"
"0x278D","10125","DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR","➍"
"0x278E","10126","DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE","➎"
"0x278F","10127","DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX","➏"
"0x2790","10128","DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN","➐"
"0x2791","10129","DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT","➑"
"0x2792","10130","DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE","➒"
"0x2793","10131","DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN","➓"
"0x2794","10132","HEAVY WIDE-HEADED RIGHTWARDS ARROW","➔"
"0x2798","10136","HEAVY SOUTH EAST ARROW","➘"
"0x2799","10137","HEAVY RIGHTWARDS ARROW","➙"
"0x279A","10138","HEAVY NORTH EAST ARROW","➚"
"0x279B","10139","DRAFTING POINT RIGHTWARDS ARROW","➛"
"0x279C","10140","HEAVY ROUND-TIPPED RIGHTWARDS ARROW","➜"
"0x279D","10141","TRIANGLE-HEADED RIGHTWARDS ARROW","➝"
"0x279E","10142","HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW","➞"
"0x279F","10143","DASHED TRIANGLE-HEADED RIGHTWARDS ARROW","➟"
"0x27A0","10144","HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW","➠"
"0x27A1","10145","BLACK RIGHTWARDS ARROW","➡"
"0x27A2","10146","THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD","➢"
"0x27A3","10147","THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD","➣"
"0x27A4","10148","BLACK RIGHTWARDS ARROWHEAD","➤"
"0x27A5","10149","HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW","➥"
"0x27A6","10150","HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW","➦"
"0x27A7","10151","SQUAT BLACK RIGHTWARDS ARROW","➧"
"0x27A8","10152","HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW","➨"
"0x27A9","10153","RIGHT-SHADED WHITE RIGHTWARDS ARROW","➩"
"0x27AA","10154","LEFT-SHADED WHITE RIGHTWARDS ARROW","➪"
"0x27AB","10155","BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW","➫"
"0x27AC","10156","FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW","➬"
"0x27AD","10157","HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW","➭"
"0x27AE","10158","HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW","➮"
"0x27AF","10159","NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW","➯"
"0x27B1","10161","NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW","➱"
"0x27B2","10162","CIRCLED HEAVY WHITE RIGHTWARDS ARROW","➲"
"0x27B3","10163","WHITE-FEATHERED RIGHTWARDS ARROW","➳"
"0x27B4","10164","BLACK-FEATHERED SOUTH EAST ARROW","➴"
"0x27B5","10165","BLACK-FEATHERED RIGHTWARDS ARROW","➵"
"0x27B6","10166","BLACK-FEATHERED NORTH EAST ARROW","➶"
"0x27B7","10167","HEAVY BLACK-FEATHERED SOUTH EAST ARROW","➷"
"0x27B8","10168","HEAVY BLACK-FEATHERED RIGHTWARDS ARROW","➸"
"0x27B9","10169","HEAVY BLACK-FEATHERED NORTH EAST ARROW","➹"
"0x27BA","10170","TEARDROP-BARBED RIGHTWARDS ARROW","➺"
"0x27BB","10171","HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW","➻"
"0x27BC","10172","WEDGE-TAILED RIGHTWARDS ARROW","➼"
"0x27BD","10173","HEAVY WEDGE-TAILED RIGHTWARDS ARROW","➽"
"0x27BE","10174","OPEN-OUTLINED RIGHTWARDS ARROW","➾"
