"Position","Decimal","Name","Appearance"
"0x0374","884","GREEK NUMERAL SIGN","ʹ"
"0x0375","885","GREEK LOWER NUMERAL SIGN","͵"
"0x037A","890","GREEK YPOGEGRAMMENI","ͺ"
"0x037E","894","GREEK QUESTION MARK",";"
"0x0384","900","GREEK TONOS","΄"
"0x0385","901","GREEK DIALYTIKA TONOS","΅"
"0x0386","902","GREEK CAPITAL LETTER ALPHA WITH TONOS","Ά"
"0x0387","903","GREEK ANO TELEIA","·"
"0x0388","904","GREEK CAPITAL LETTER EPSILON WITH TONOS","Έ"
"0x0389","905","GREEK CAPITAL LETTER ETA WITH TONOS","Ή"
"0x038A","906","GREEK CAPITAL LETTER IOTA WITH TONOS","Ί"
"0x038C","908","GREEK CAPITAL LETTER OMICRON WITH TONOS","Ό"
"0x038E","910","GREEK CAPITAL LETTER UPSILON WITH TONOS","Ύ"
"0x038F","911","GREEK CAPITAL LETTER OMEGA WITH TONOS","Ώ"
"0x0390","912","GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS","ΐ"
"0x0391","913","GREEK CAPITAL LETTER ALPHA","Α"
"0x0392","914","GREEK CAPITAL LETTER BETA","Β"
"0x0393","915","GREEK CAPITAL LETTER GAMMA","Γ"
"0x0394","916","GREEK CAPITAL LETTER DELTA","Δ"
"0x0395","917","GREEK CAPITAL LETTER EPSILON","Ε"
"0x0396","918","GREEK CAPITAL LETTER ZETA","Ζ"
"0x0397","919","GREEK CAPITAL LETTER ETA","Η"
"0x0398","920","GREEK CAPITAL LETTER THETA","Θ"
"0x0399","921","GREEK CAPITAL LETTER IOTA","Ι"
"0x039A","922","GREEK CAPITAL LETTER KAPPA","Κ"
"0x039B","923","GREEK CAPITAL LETTER LAMDA","Λ"
"0x039C","924","GREEK CAPITAL LETTER MU","Μ"
"0x039D","925","GREEK CAPITAL LETTER NU","Ν"
"0x039E","926","GREEK CAPITAL LETTER XI","Ξ"
"0x039F","927","GREEK CAPITAL LETTER OMICRON","Ο"
"0x03A0","928","GREEK CAPITAL LETTER PI","Π"
"0x03A1","929","GREEK CAPITAL LETTER RHO","Ρ"
"0x03A3","931","GREEK CAPITAL LETTER SIGMA","Σ"
"0x03A4","932","GREEK CAPITAL LETTER TAU","Τ"
"0x03A5","933","GREEK CAPITAL LETTER UPSILON","Υ"
"0x03A6","934","GREEK CAPITAL LETTER PHI","Φ"
"0x03A7","935","GREEK CAPITAL LETTER CHI","Χ"
"0x03A8","936","GREEK CAPITAL LETTER PSI","Ψ"
"0x03A9","937","GREEK CAPITAL LETTER OMEGA","Ω"
"0x03AA","938","GREEK CAPITAL LETTER IOTA WITH DIALYTIKA","Ϊ"
"0x03AB","939","GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA","Ϋ"
"0x03AC","940","GREEK SMALL LETTER ALPHA WITH TONOS","ά"
"0x03AD","941","GREEK SMALL LETTER EPSILON WITH TONOS","έ"
"0x03AE","942","GREEK SMALL LETTER ETA WITH TONOS","ή"
"0x03AF","943","GREEK SMALL LETTER IOTA WITH TONOS","ί"
"0x03B0","944","GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS","ΰ"
"0x03B1","945","GREEK SMALL LETTER ALPHA","α"
