"Position","Decimal","Name","Appearance"
"0x0591","1425","HEBREW ACCENT ETNAHTA","֑"
"0x0592","1426","HEBREW ACCENT SEGOL","֒"
"0x0593","1427","HEBREW ACCENT SHALSHELET","֓"
"0x0594","1428","HEBREW ACCENT ZAQEF QATAN","֔"
"0x0595","1429","HEBREW ACCENT ZAQEF GADOL","֕"
"0x0596","1430","HEBREW ACCENT TIPEHA","֖"
"0x0597","1431","HEBREW ACCENT REVIA","֗"
"0x0598","1432","HEBREW ACCENT ZARQA","֘"
"0x0599","1433","HEBREW ACCENT PASHTA","֙"
"0x059A","1434","HEBREW ACCENT YETIV","֚"
"0x059B","1435","HEBREW ACCENT TEVIR","֛"
"0x059C","1436","HEBREW ACCENT GERESH","֜"
"0x059D","1437","HEBREW ACCENT GERESH MUQDAM","֝"
"0x059E","1438","HEBREW ACCENT GERSHAYIM","֞"
"0x059F","1439","HEBREW ACCENT QARNEY PARA","֟"
"0x05A0","1440","HEBREW ACCENT TELISHA GEDOLA","֠"
"0x05A1","1441","HEBREW ACCENT PAZER","֡"
"0x05A3","1443","HEBREW ACCENT MUNAH","֣"
"0x05A4","1444","HEBREW ACCENT MAHAPAKH","֤"
"0x05A5","1445","HEBREW ACCENT MERKHA","֥"
"0x05A6","1446","HEBREW ACCENT MERKHA KEFULA","֦"
"0x05A7","1447","HEBREW ACCENT DARGA","֧"
"0x05A8","1448","HEBREW ACCENT QADMA","֨"
"0x05A9","1449","HEBREW ACCENT TELISHA QETANA","֩"
"0x05AA","1450","HEBREW ACCENT YERAH BEN YOMO","֪"
"0x05AB","1451","HEBREW ACCENT OLE","֫"
"0x05AC","1452","HEBREW ACCENT ILUY","֬"
"0x05AD","1453","HEBREW ACCENT DEHI","֭"
"0x05AE","1454","HEBREW ACCENT ZINOR","֮"
"0x05AF","1455","HEBREW MARK MASORA CIRCLE","֯"
"0x05B0","1456","HEBREW POINT SHEVA","ְ"
"0x05B1","1457","HEBREW POINT HATAF SEGOL","ֱ"
"0x05B2","1458","HEBREW POINT HATAF PATAH","ֲ"
"0x05B3","1459","HEBREW POINT HATAF QAMATS","ֳ"
"0x05B4","1460","HEBREW POINT HIRIQ","ִ"
"0x05B5","1461","HEBREW POINT TSERE","ֵ"
"0x05B6","1462","HEBREW POINT SEGOL","ֶ"
"0x05B7","1463","HEBREW POINT PATAH","ַ"
"0x05B8","1464","HEBREW POINT QAMATS","ָ"
"0x05B9","1465","HEBREW POINT HOLAM","ֹ"
"0x05BB","1467","HEBREW POINT QUBUTS","ֻ"
"0x05BC","1468","HEBREW POINT DAGESH OR MAPIQ","ּ"
"0x05BD","1469","HEBREW POINT METEG","ֽ"
"0x05BE","1470","HEBREW PUNCTUATION MAQAF","־"
"0x05BF","1471","HEBREW POINT RAFE","ֿ"
"0x05C0","1472","HEBREW PUNCTUATION PASEQ","׀"
"0x05C1","1473","HEBREW POINT SHIN DOT","ׁ"
"0x05C2","1474","HEBREW POINT SIN DOT","ׂ"
"0x05C3","1475","HEBREW PUNCTUATION SOF PASUQ","׃"
"0x05C4","1476","HEBREW MARK UPPER DOT","ׄ"
"0x05D0","1488","HEBREW LETTER ALEF","א"
"0x05D1","1489","HEBREW LETTER BET","ב"
"0x05D2","1490","HEBREW LETTER GIMEL","ג"
"0x05D3","1491","HEBREW LETTER DALET","ד"
"0x05D4","1492","HEBREW LETTER HE","ה"
"0x05D5","1493","HEBREW LETTER VAV","ו"
"0x05D6","1494","HEBREW LETTER ZAYIN","ז"
"0x05D7","1495","HEBREW LETTER HET","ח"
"0x05D8","1496","HEBREW LETTER TET","ט"
"0x05D9","1497","HEBREW LETTER YOD","י"
"0x05DA","1498","HEBREW LETTER FINAL KAF","ך"
"0x05DB","1499","HEBREW LETTER KAF","כ"
"0x05DC","1500","HEBREW LETTER LAMED","ל"
"0x05DD","1501","HEBREW LETTER FINAL MEM","ם"
"0x05DE","1502","HEBREW LETTER MEM","מ"
"0x05DF","1503","HEBREW LETTER FINAL NUN","ן"
"0x05E0","1504","HEBREW LETTER NUN","נ"
"0x05E1","1505","HEBREW LETTER SAMEKH","ס"
"0x05E2","1506","HEBREW LETTER AYIN","ע"
"0x05E3","1507","HEBREW LETTER FINAL PE","ף"
"0x05E4","1508","HEBREW LETTER PE","פ"
"0x05E5","1509","HEBREW LETTER FINAL TSADI","ץ"
"0x05E6","1510","HEBREW LETTER TSADI","צ"
"0x05E7","1511","HEBREW LETTER QOF","ק"
"0x05E8","1512","HEBREW LETTER RESH","ר"
"0x05E9","1513","HEBREW LETTER SHIN","ש"
"0x05EA","1514","HEBREW LETTER TAV","ת"
"0x05F0","1520","HEBREW LIGATURE YIDDISH DOUBLE VAV","װ"
"0x05F1","1521","HEBREW LIGATURE YIDDISH VAV YOD","ױ"
"0x05F2","1522","HEBREW LIGATURE YIDDISH DOUBLE YOD","ײ"
"0x05F3","1523","HEBREW PUNCTUATION GERESH","׳"
"0x05F4","1524","HEBREW PUNCTUATION GERSHAYIM","״"
