"Position","Decimal","Name","Appearance"
"0x2300","8960","DIAMETER SIGN","⌀"
"0x2301","8961","ELECTRIC ARROW","⌁"
"0x2302","8962","HOUSE","⌂"
"0x2303","8963","UP ARROWHEAD","⌃"
"0x2304","8964","DOWN ARROWHEAD","⌄"
"0x2305","8965","PROJECTIVE","⌅"
"0x2306","8966","PERSPECTIVE","⌆"
"0x2307","8967","WAVY LINE","⌇"
"0x2308","8968","LEFT CEILING","⌈"
"0x2309","8969","RIGHT CEILING","⌉"
"0x230A","8970","LEFT FLOOR","⌊"
"0x230B","8971","RIGHT FLOOR","⌋"
"0x230C","8972","BOTTOM RIGHT CROP","⌌"
"0x230D","8973","BOTTOM LEFT CROP","⌍"
"0x230E","8974","TOP RIGHT CROP","⌎"
"0x230F","8975","TOP LEFT CROP","⌏"
"0x2310","8976","REVERSED NOT SIGN","⌐"
"0x2311","8977","SQUARE LOZENGE","⌑"
"0x2312","8978","ARC","⌒"
"0x2313","8979","SEGMENT","⌓"
"0x2314","8980","SECTOR","⌔"
"0x2315","8981","TELEPHONE RECORDER","⌕"
"0x2316","8982","POSITION INDICATOR","⌖"
"0x2317","8983","VIEWDATA SQUARE","⌗"
"0x2318","8984","PLACE OF INTEREST SIGN","⌘"
"0x2319","8985","TURNED NOT SIGN","⌙"
"0x231A","8986","WATCH","⌚"
"0x231B","8987","HOURGLASS","⌛"
"0x231C","8988","TOP LEFT CORNER","⌜"
"0x231D","8989","TOP RIGHT CORNER","⌝"
"0x231E","8990","BOTTOM LEFT CORNER","⌞"
"0x231F","8991","BOTTOM RIGHT CORNER","⌟"
"0x2320","8992","TOP HALF INTEGRAL","⌠"
"0x2321","8993","BOTTOM HALF INTEGRAL","⌡"
"0x2322","8994","FROWN","⌢"
"0x2323","8995","SMILE","⌣"
"0x2324","8996","UP ARROWHEAD BETWEEN TWO HORIZONTAL BARS","⌤"
"0x2325","8997","OPTION KEY","⌥"
"0x2326","8998","ERASE TO THE RIGHT","⌦"
"0x2327","8999","X IN A RECTANGLE BOX","⌧"
"0x2328","9000","KEYBOARD","⌨"
"0x2329","9001","LEFT-POINTING ANGLE BRACKET","〈"
"0x232A","9002","RIGHT-POINTING ANGLE BRACKET","〉"
"0x232B","9003","ERASE TO THE LEFT","⌫"
"0x232C","9004","BENZENE RING","⌬"
"0x232D","9005","CYLINDRICITY","⌭"
"0x232E","9006","ALL AROUND-PROFILE","⌮"
"0x232F","9007","SYMMETRY","⌯"
"0x2330","9008","TOTAL RUNOUT","⌰"
"0x2331","9009","DIMENSION ORIGIN","⌱"
"0x2332","9010","CONICAL TAPER","⌲"
"0x2333","9011","SLOPE","⌳"
"0x2334","9012","COUNTERBORE","⌴"
"0x2335","9013","COUNTERSINK","⌵"
"0x2336","9014","APL FUNCTIONAL SYMBOL I-BEAM","⌶"
"0x2337","9015","APL FUNCTIONAL SYMBOL SQUISH QUAD","⌷"
"0x2338","9016","APL FUNCTIONAL SYMBOL QUAD EQUAL","⌸"
"0x2339","9017","APL FUNCTIONAL SYMBOL QUAD DIVIDE","⌹"
"0x233A","9018","APL FUNCTIONAL SYMBOL QUAD DIAMOND","⌺"
"0x233B","9019","APL FUNCTIONAL SYMBOL QUAD JOT","⌻"
"0x233C","9020","APL FUNCTIONAL SYMBOL QUAD CIRCLE","⌼"
"0x233D","9021","APL FUNCTIONAL SYMBOL CIRCLE STILE","⌽"
"0x233E","9022","APL FUNCTIONAL SYMBOL CIRCLE JOT","⌾"
