"Position","Decimal","Name","Appearance"
"0x2070","8304","SUPERSCRIPT ZERO","⁰"
"0x2074","8308","SUPERSCRIPT FOUR","⁴"
"0x2075","8309","SUPERSCRIPT FIVE","⁵"
"0x2076","8310","SUPERSCRIPT SIX","⁶"
"0x2077","8311","SUPERSCRIPT SEVEN","⁷"
"0x2078","8312","SUPERSCRIPT EIGHT","⁸"
"0x2079","8313","SUPERSCRIPT NINE","⁹"
"0x207A","8314","SUPERSCRIPT PLUS SIGN","⁺"
"0x207B","8315","SUPERSCRIPT MINUS","⁻"
"0x207C","8316","SUPERSCRIPT EQUALS SIGN","⁼"
"0x207D","8317","SUPERSCRIPT LEFT PARENTHESIS","⁽"
"0x207E","8318","SUPERSCRIPT RIGHT PARENTHESIS","⁾"
"0x207F","8319","SUPERSCRIPT LATIN SMALL LETTER N","ⁿ"
"0x2080","8320","SUBSCRIPT ZERO","₀"
"0x2081","8321","SUBSCRIPT ONE","₁"
"0x2082","8322","SUBSCRIPT TWO","₂"
"0x2083","8323","SUBSCRIPT THREE","₃"
"0x2084","8324","SUBSCRIPT FOUR","₄"
"0x2085","8325","SUBSCRIPT FIVE","₅"
"0x2086","8326","SUBSCRIPT SIX","₆"
"0x2087","8327","SUBSCRIPT SEVEN","₇"
"0x2088","8328","SUBSCRIPT EIGHT","₈"
"0x2089","8329","SUBSCRIPT NINE","₉"
"0x208A","8330","SUBSCRIPT PLUS SIGN","₊"
"0x208B","8331","SUBSCRIPT MINUS","₋"
"0x208C","8332","SUBSCRIPT EQUALS SIGN","₌"
"0x208D","8333","SUBSCRIPT LEFT PARENTHESIS","₍"
"0x208E","8334","SUBSCRIPT RIGHT PARENTHESIS","₎"
