"no.","LaTeX","requirements"
"00021","!","*"
"00023","\#","*"
"00024","\$","*"
"00025","\%","*"
"00026","\&","*"
"00028","(","*"
"00029",")","*"
"0002A","*","*"
"0002B","+","*"
"0002C",",","*"
"0002D",""," "
"0002E",".","*"
"0002F","/","*"
"00030","0","*"
"00031","1","*"
"00032","2","*"
"00033","3","*"
"00034","4","*"
"00035","5","*"
"00036","6","*"
"00037","7","*"
"00038","8","*"
"00039","9","*"
"0003A","\colon","*"
"0003B",";","*"
"0003C","<","*"
"0003D","=","*"
"0003E",">","*"
"0003F","?","*"
"00040","@","*"
"00041","A","-literal"
"00042","B","-literal"
"00043","C","-literal"
"00044","D","-literal"
"00045","E","-literal"
"00046","F","-literal"
"00047","G","-literal"
"00048","H","-literal"
"00049","I","-literal"
"0004A","J","-literal"
"0004B","K","-literal"
"0004C","L","-literal"
"0004D","M","-literal"
"0004E","N","-literal"
"0004F","O","-literal"
"00050","P","-literal"
"00051","Q","-literal"
"00052","R","-literal"
"00053","S","-literal"
"00054","T","-literal"
"00055","U","-literal"
"00056","V","-literal"
"00057","W","-literal"
"00058","X","-literal"
"00059","Y","-literal"
"0005A","Z","-literal"
"0005B","\lbrack","*"
"0005C","\backslash","*"
"0005D","\rbrack","*"
"0005E","\sphat","amsxtra"
"0005F","\_","*"
"00060",""," "
"00061","a","-literal"
"00062","b","-literal"
"00063","c","-literal"
"00064","d","-literal"
"00065","e","-literal"
"00066","f","-literal"
"00067","g","-literal"
"00068","h","-literal"
"00069","i","-literal"
"0006A","j","-literal"
"0006B","k","-literal"
"0006C","l","-literal"
"0006D","m","-literal"
"0006E","n","-literal"
"0006F","o","-literal"
"00070","p","-literal"
"00071","q","-literal"
"00072","r","-literal"
"00073","s","-literal"
"00074","t","-literal"
"00075","u","-literal"
"00076","v","-literal"
"00077","w","-literal"
"00078","x","-literal"
"00079","y","-literal"
"0007A","z","-literal"
"0007B","\{","*"
"0007C","|","*"
"0007D","\}","*"
"0007E","\sptilde","amsxtra"
"000A0","~","*"
"000A1",""," "
"000A2","\cent","wasysym"
"000A3","\pounds","-fourier, -fouriernc, -omlmathit"
"000A4",""," "
"000A5","\yen","MnSymbol, amsfonts, amssymb, oz"
"000A6",""," "
"000A7",""," "
"000A8",""," "
"000AC","\neg","*"
"000AE","\circledR","MnSymbol, amsfonts, amssymb, mathdesign, oz"
"000AF",""," "
"000B0",""," "
"000B1","\pm","*"
"000B2",""," "
"000B3",""," "
"000B4",""," "
"000B5","\Micro","wrisym"
"000B6",""," "
"000B7",""," "
"000B9",""," "
"000BC",""," "
"000BD",""," "
"000BE",""," "
"000BF",""," "
"000D7","\times","*"
"000F0","\eth","amssymb, arevmath, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"000F7","\div","*"
"00131","\imath","-literal"
"001B5",""," "
"00237","\jmath","-literal"
"002C6",""," "
"002C7",""," "
"002D8",""," "
"002D9",""," "
"002DA",""," "
"002DC",""," "
"00300","\grave","*"
"00301","\acute","*"
"00302","\hat","*"
"00303","\tilde","*"
"00304","\bar","*"
"00305","\overline","*"
"00306","\breve","*"
"00307","\dot","-oz"
"00308","\ddot","*"
"00309",""," "
"0030A","\mathring","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"0030C","\check","*"
"00310",""," "
"00311",""," "
"00312",""," "
"00315",""," "
"0031A",""," "
"00323",""," "
"0032C",""," "
"0032D",""," "
"0032E",""," "
"0032F",""," "
"00330","\utilde","undertilde"
"00331","\underbar","*"
"00332","\underline","*"
"00333",""," "
"00338","\not","*"
"0033A",""," "
