attr	variable	value
writing-mode	Value	lr-tb 
writing-mode	Value	 rl-tb 
writing-mode	Value	 tb-rl 
writing-mode	Value	 lr 
writing-mode	Value	 rl 
writing-mode	Value	 tb 
writing-mode	Value	 inherit
glyph-orientation-vertical	Value	auto 
glyph-orientation-vertical	Value	 <angle> 
glyph-orientation-vertical	Value	 inherit
glyph-orientation-horizontal	Value	<angle> 
glyph-orientation-horizontal	Value	 inherit
direction	Value	ltr 
direction	Value	 rtl 
direction	Value	 inherit
unicode-bidi	Value	normal 
unicode-bidi	Value	 embed 
unicode-bidi	Value	 bidi-override 
unicode-bidi	Value	 inherit
text-anchor	Value	start 
text-anchor	Value	 middle 
text-anchor	Value	 end 
text-anchor	Value	 inherit
dominant-baseline	Value	auto 
dominant-baseline	Value	 use-script 
dominant-baseline	Value	 no-change 
dominant-baseline	Value	 reset-size 
dominant-baseline	Value	 ideographic 
dominant-baseline	Value	 alphabetic 
dominant-baseline	Value	 hanging 
dominant-baseline	Value	 mathematical 
dominant-baseline	Value	 central 
dominant-baseline	Value	 middle 
dominant-baseline	Value	 text-after-edge 
dominant-baseline	Value	 text-before-edge 
dominant-baseline	Value	 inherit
alignment-baseline	Value	auto 
alignment-baseline	Value	 baseline 
alignment-baseline	Value	 before-edge 
alignment-baseline	Value	 text-before-edge 
alignment-baseline	Value	 middle 
alignment-baseline	Value	 central 
alignment-baseline	Value	 after-edge 
alignment-baseline	Value	 text-after-edge 
alignment-baseline	Value	 ideographic 
alignment-baseline	Value	 alphabetic 
alignment-baseline	Value	 hanging 
alignment-baseline	Value	 mathematical 
alignment-baseline	Value	 inherit
baseline-shift	Value	baseline 
baseline-shift	Value	 sub 
baseline-shift	Value	 super 
baseline-shift	Value	 <percentage> 
baseline-shift	Value	 <length> 
baseline-shift	Value	 inherit
font-family	Value	[[ <family-name> | <generic-family> ],]* [<family-name> | <generic-family>] | inherit
font-style	Value	normal 
font-style	Value	 italic 
font-style	Value	 oblique 
font-style	Value	 inherit
font-variant	Value	normal 
font-variant	Value	 small-caps 
font-variant	Value	 inherit
font-weight	Value	normal 
font-weight	Value	 bold 
font-weight	Value	 bolder 
font-weight	Value	 lighter 
font-weight	Value	 100 
font-weight	Value	 200 
font-weight	Value	 300 
font-weight	Value	 400 
font-weight	Value	 500 
font-weight	Value	 600 
font-weight	Value	 700 
font-weight	Value	 800 
font-weight	Value	 900 
font-weight	Value	 inherit
font-stretch	Value	normal 
font-stretch	Value	 wider 
font-stretch	Value	 narrower 
font-stretch	Value	 ultra-condensed 
font-stretch	Value	 extra-condensed 
font-stretch	Value	 condensed 
font-stretch	Value	 semi-condensed 
font-stretch	Value	 semi-expanded 
font-stretch	Value	 expanded 
font-stretch	Value	 extra-expanded 
font-stretch	Value	 ultra-expanded 
font-stretch	Value	 inherit
font-size	Value	<absolute-size> 
font-size	Value	 <relative-size> 
font-size	Value	 <length> 
font-size	Value	 <percentage> 
font-size	Value	 inherit
font-size-adjust	Value	<number> 
font-size-adjust	Value	 none 
font-size-adjust	Value	 inherit
