Name	Values	Initial value	Applies to	Inh.	Percentages	Media	Anim.
alignment-baseline	auto | baseline | before-edge | text-before-edge | middle | central | after-edge | text-after-edge | ideographic | alphabetic | hanging | mathematical | inherit	see property description	tspan tref altGlyph textPath elements	no	N/A	visual	yes
baseline-shift	baseline | sub | super | <percentage> | <length> | inherit	baseline	tspan tref altGlyph textPath elements	no	refer to the "line height" of the text element which in the case of SVG is defined to be equal to the font size	visual	yes
clip	<shape> | auto | inherit	auto	elements which establish a new viewport pattern elements and marker elements	no	N/A	visual	yes
clip-path	<funciri> | none | inherit	none	container elements and graphics elements	no	N/A	visual	yes
clip-rule	nonzero | evenodd | inherit	nonzero	graphics elements within a clipPath element	yes	N/A	visual	yes
color	<color> | inherit	depends on user agent	elements to which properties fill stroke stop-color flood-color lighting-color apply	yes	N/A	visual	yes
color-interpolation	auto | sRGB | linearRGB | inherit	sRGB	container elements graphics elements and animateColor	yes	N/A	visual	yes
color-interpolation-filters	auto | sRGB | linearRGB | inherit	linearRGB	filter primitives	yes	N/A	visual	yes
color-profile	auto | sRGB | <name> | <funciri> | inherit	auto	image elements that refer to raster images	yes	N/A	visual	yes
color-rendering	auto | optimizeSpeed | optimizeQuality | inherit	auto	container elements graphics elements and animateColor	yes	N/A	visual	yes
cursor	[ [<funciri> ]* [ auto | crosshair | default | pointer | move | e-resize | ne-resize | nw-resize | n-resize | se-resize | sw-resize | s-resize | w-resize| text | wait | help ] ] | inherit	auto	container elements and graphics elements	yes	N/A	visual interactive	yes
direction	ltr | rtl | inherit	ltr	text content elements	yes	N/A	visual	no
display	inline | block | list-item | run-in | compact | marker | table | inline-table | table-row-group | table-header-group | table-footer-group | table-row | table-column-group | table-column | table-cell | table-caption | none | inherit	inline	svg g switch a foreignObject graphics elements (including the text element) and text sub-elements (i.e. tspan tref altGlyph textPath)	no	N/A	all	yes
dominant-baseline	auto | use-script | no-change | reset-size | ideographic | alphabetic | hanging | mathematical | central | middle | text-after-edge | text-before-edge | inherit	auto	text content elements	no	N/A	visual	yes
enable-background	accumulate | new [ <x> <y> <width> <height> ] | inherit	accumulate	container elements	no	N/A	visual	no
fill	<paint> (See Specifying paint)	black	shapes and text content elements	yes	N/A	visual	yes
fill-opacity	<opacity-value> | inherit	1	shapes and text content elements	yes	N/A	visual	yes
fill-rule	nonzero | evenodd | inherit	nonzero	shapes and text content elements	yes	N/A	visual	yes
filter	<funciri> | none | inherit	none	container elements and graphics elements	no	N/A	visual	yes
flood-color	currentColor |<color> [<icccolor>] | inherit	black	feFlood elements	no	N/A	visual	yes
flood-opacity	<opacity-value> | inherit	1	feFlood elements	no	N/A	visual	yes
