element	variable	sought.attrs
feTurbulence	cxy	width
feTurbulence	cxy	height
feTurbulence	cxy	x
feTurbulence	cxy	y
feConvolveMatrix	cxy	width
feConvolveMatrix	cxy	height
feConvolveMatrix	cxy	x
feConvolveMatrix	cxy	y
feDiffuseLighting	cxy	width
feDiffuseLighting	cxy	height
feDiffuseLighting	cxy	x
feDiffuseLighting	cxy	y
feOffset	cxy	width
feOffset	cxy	height
feOffset	cxy	x
feOffset	cxy	y
filter	cxy	width
filter	cxy	height
filter	cxy	x
filter	cxy	y
feBlend	cxy	width
feBlend	cxy	height
feBlend	cxy	x
feBlend	cxy	y
feColorMatrix	cxy	width
feColorMatrix	cxy	height
feColorMatrix	cxy	x
feColorMatrix	cxy	y
feComponentTransfer	cxy	width
feComponentTransfer	cxy	height
feComponentTransfer	cxy	x
feComponentTransfer	cxy	y
feComposite	cxy	width
feComposite	cxy	height
feComposite	cxy	x
feComposite	cxy	y
feDisplacementMap	cxy	width
feDisplacementMap	cxy	height
feDisplacementMap	cxy	x
feDisplacementMap	cxy	y
feFlood	cxy	width
feFlood	cxy	height
feFlood	cxy	x
feFlood	cxy	y
feGaussianBlur	cxy	width
feGaussianBlur	cxy	height
feGaussianBlur	cxy	x
feGaussianBlur	cxy	y
feImage	cxy	width
feImage	cxy	height
feImage	cxy	x
feImage	cxy	y
feMerge	cxy	width
feMerge	cxy	height
feMerge	cxy	x
feMerge	cxy	y
feMorphology	cxy	width
feMorphology	cxy	height
feMorphology	cxy	x
feMorphology	cxy	y
feSpecularLighting	cxy	width
feSpecularLighting	cxy	height
feSpecularLighting	cxy	x
feSpecularLighting	cxy	y
feTile	cxy	width
feTile	cxy	height
feTile	cxy	x
feTile	cxy	y
svg	cxy	width
svg	cxy	height
svg	cxy	x
svg	cxy	y
foreignObject	cxy	width
foreignObject	cxy	height
foreignObject	cxy	x
foreignObject	cxy	y
image	cxy	width
image	cxy	height
image	cxy	x
image	cxy	y
mask	cxy	width
mask	cxy	height
mask	cxy	x
mask	cxy	y
pattern	cxy	width
pattern	cxy	height
pattern	cxy	x
pattern	cxy	y
rect	cxy	width
rect	cxy	height
rect	cxy	x
rect	cxy	y
use	cxy	width
use	cxy	height
use	cxy	x
use	cxy	y
